id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
1,Volkova Faina Afanasyevna,"Art. Elbrus, etc.. Novoselov, d. 4/4 in. 261 796 898",8 (475) 014-6494,wkirillov@rambler.ru,"Art. Kirovsk (Moorman.), Br. Commune, d. 238 p. 3, 533,612",24357,42745,F,230910,61975,1,
2,Pelagia Vyacheslavovna Galkina,"n. Ignashina, nab. Naval, d. 1 k. 403, 135896",+7 (981) 576-1146,bogdanovmoke@rambler.ru,"Elabuga, bul. 60 October, d. 5, 070,955",31920,42565,F,,75232,,
3,Valentina Igorevna Fomina,"Art. Syktyvkar, etc. Peasants, d. 289, 289481",+7 (920) 068-58-36,mjasnikovvalentin@mail.ru,"Sosnovy Bor, ALL. Leskhoznaya, d. 146, 139 446",27195,43026,F,,88813,,
4,Comrade. Vorontsov Thekla F.,"d. Ulyanovsk, ALL. Amur, d. 997 pp. 64, 736 376",8 334 398 3828,martin85@rambler.ru,"COFO Kotelnich, bul. Serafimovicha, d. 97, 753 076",29147,41146,F,,55167,,
5,Philip D. Vorontsov,"COFO Kezhma, w. Herzen, d. 256 to. 4, 841,692",8 (296) 455-0453,jan_07@rambler.ru,"COFO Karabudahkent Str. Apricot, d. 3 to. 192, 196810",31638,42809,M,,85106,,
6,Agatha V. Zykov,"Kropotkin (Krasnod.), co. Fadeyeva, d. 24 to. 4, 956,774",+7 (540) 539-43-82,vdementev@yandex.ru,"n. Chegem, ALL. Trading, d. 61 to. 79, 232910",22413,41050,F,,81297,,1
7,Kirillov Akulina Veniaminovna,"Art. Magnitogorsk, nab. Angarsk, d. 244 to. 787 019 333",+71375862125,pavel_1976@yandex.ru,"from. Kurilsk, ALL. Priozernaya, d. 560 p. 1, 195,131",30547,41472,F,268939,82437,1,
8,Blinov Praskovya Ivanovna,"Ust-Kalmanka, w. Saratov, d. 41 to. 1 184 151",+74612028488,cheslav_2008@yandex.ru,"a. Krymsk, trans. Metallistov d. 7 614065",26511,42986,F,274911,115064,1,1
9,Agatha Boleslavovna Yakovleva,"d. Tutaev, w. Yaroslavskoye, d. 2 k. 3/6, 529,327",8 505 777 79 67,lev1991@yahoo.com,"d. Novorossiyka blvd. Dobrolyubova. 420 pp. 524, 754 398",25962,43785,F,,92193,,1
10,Dmitry Loginov Anisimovich,"n. Morshansk, bul. Vatutina, d. 6, 829,748",+7 592 074 68 81,samolovauljana@yandex.ru,"d. Yuzhno-Kurilsk, bul. Green, d. 50, 182094",32321,42700,M,,82715,,
